Title,Director,Genre,Cast
House of the Dead,Uwe Boll,Horror,Jonathan Cherry Tyron Leitso Clint Howard
How to Deal,Clare Kilner,Romantic Comedy,Mandy Moore Trent Ford Allison Janney
How to Lose a Guy in 10 Days,Donald Petrie,Romantic Comedy,Kate Hudson Matthew McConaughey Kathryn Hahn
Hulk,Ang Lee,"Superhero, Action",Eric Bana Jennifer Connelly Sam Elliott
The Human Stain,Robert Benton,Romance,Anthony Hopkins Nicole Kidman Ed Harris
The Hunted,William Friedkin,"Action, Drama",Tommy Lee Jones Benicio del Toro Connie Nielsen
I Am David,Paul Feig,Drama,Ben Tibber Jim Caviezel Joan Plowright
Identity,James Mangold,Horror,John Cusack Ray Liotta Amanda Peet
Imagining Argentina,Christopher Hampton,"Drama, Romance",Antonio Banderas Emma Thompson Leticia Dolera
In the Cut,Jane Campion,"Crime, Drama",Meg Ryan Mark Ruffalo Jennifer Jason Leigh
The In-Laws,Andrew Fleming,"Action, Comedy",Michael Douglas Albert Brooks Ryan Reynolds
Indigo,Stephen Simon,Drama,Kohei Shinozaki Elizabeth Davison Keiko Boxall
Intolerable Cruelty,Joel and Ethan Coen,"Crime, Comedy",George Clooney Catherine Zeta-Jones Edward Herrmann
It Runs in the Family,Fred Schepisi,Drama,Michael Douglas Kirk Douglas Bernadette Peters
The Italian Job,F. Gary Gray,"Action, Crime",Mark Wahlberg Charlize Theron Edward Norton
Jeepers Creepers II,Victor Salva,Horror,Gina Philips Gabrielle Haugh Jonathan Breck
Johnny English,Peter Howitt,"Spy, Comedy",Rowan Atkinson Gillian Anderson Dominic West
The Jungle Book 2,Steven Trenbirth,"Animation, Family",John Goodman Haley Joel Osment Mae Whitman
Just Married,Shawn Levy,Romantic comedy,Ashton Kutcher Brittany Murphy Christian Kane
Kangaroo Jack,David McNally,Crime comedy,Jerry O'Connell Anthony Anderson Estella Warren
Kill Bill: Volume 1,Quentin Tarantino,Action,Uma Thurman Lucy Liu Vivica A. Fox
Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont,"Action, Fantasy",Angelina Jolie Gerard Butler Ciarán Hinds
The Last Samurai,Edward Zwick,"Action, drama",Tom Cruise Ken Watanabe Timothy Spall
The League of Extraordinary Gentlemen,Stephen Norrington,Superhero,Sean Connery Naseeruddin Shah Peta Wilson
"Legally Blonde 2: Red, White & Blonde",Charles Herman-Wurmfeld,Comedy,Reese Witherspoon Sally Field Regina King
The Life of David Gale,Alan Parker,Crime drama,Kevin Spacey Kate Winslet Laura Linney
The Lizzie McGuire Movie,Jim Fall,Comedy,Hilary Duff Hallie Todd Jake Thomas
Looney Tunes: Back in Action,Joe Dante,"Live-Action/Animation, Family",Brendan Fraser Jenna Elfman Steve Martin
The Lord of the Rings: The Return of the King,Peter Jackson,"Adventure, Fantasy",Elijah Wood Ian McKellen Liv Tyler
Lost in Translation,Sofia Coppola,"Comedy, Drama",Bill Murray Scarlett Johansson Giovanni Ribisi
Love Don't Cost a Thing,Troy Beyer,Romantic Comedy,Nick Cannon Christina Milian Kenan Thompson
Malibu's Most Wanted,John Whitesell,"Comedy, Drama",Jamie Kennedy Taye Diggs Anthony Anderson
A Man Apart,F. Gary Gray,Crime,Vin Diesel Larenz Tate Timothy Olyphant
Manhood,Bobby Roth,"Comedy, Drama",Nestor Carbonell John Ritter Janeane Garofalo
Marci X,Richard Benjamin,Comedy,Lisa Kudrow Damon Wayans Richard Benjamin
Masked and Anonymous,Larry Charles,"Comedy, Drama",Bob Dylan Jeff Bridges Penélope Cruz
Master and Commander: The Far Side of the World,Peter Weir,"Drama, War",Russell Crowe Paul Bettany Billy Boyd
Matchstick Men,Ridley Scott,"Crime, Comedy",Nicolas Cage Sam Rockwell Alison Lohman
The Matrix Reloaded,"Andy Wachowski, Larry Wachowski","Action, Science Fiction",Keanu Reeves Laurence Fishburne Carrie-Anne Moss
The Matrix Revolutions,"Andy Wachowski, Larry Wachowski","Action, Science Fiction",Keanu Reeves Laurence Fishburne Carrie-Anne Moss
May,Lucky McKee,Horror,Angela Bettis Jeremy Sisto Anna Faris
The Medallion,Gordon Chan,Fantasy,Jackie Chan Lee Evans Claire Forlani
A Mighty Wind,Christopher Guest,Mockumentary,Bob Balaban Christopher Guest John Michael Higgins
"Milwaukee, Minnesota",Allan Mindel,Drama,Troy Garity Alison Folland Randy Quaid
The Missing,Ron Howard,"Western, Drama",Cate Blanchett Tommy Lee Jones Evan Rachel Wood
Mona Lisa Smile,Mike Newell,"Drama, Romance",Julia Roberts Kirsten Dunst Julia Stiles
Monster,Patty Jenkins,"Crime, Drama",Milla Jovovich Tony Jaa Ron Perlman
Monster Man,Michael Davis,"Horror, Comedy",Eric Jungmann Justin Urich Aimee Brooks
My Boss's Daughter,David Zucker,"Romantic, Comedy",Ashton Kutcher Tara Reid Andy Richter
My Flesh and Blood,Jonathan Karsh,Documentary,Susan Tom Anthony Tom Faith Tom
Mystic River,Clint Eastwood,"Crime, Drama",Sean Penn Tim Robbins Kevin Bacon
National Lampoon Presents Dorm Daze,"David Hillenbrand, Scott Hillenbrand",Comedy,James DeBello Chris Owen Boti Bliss
National Lampoon's Gold Diggers,Gary Preisler,Comedy,Will Friedle Chris Owen Louise Lasser
National Security,Dennis Dugan,"Action, Comedy",Steve Zahn Martin Lawrence Colm Feore
The Night We Called it a Day,Paul Goldman,Biographical,Dennis Hopper Melanie Griffith Portia de Rossi
Old School,Todd Phillips,Comedy,Luke Wilson Vince Vaughn Will Ferrell
Once Upon a Time in Mexico,Robert Rodriguez,Action,Antonio Banderas Salma Hayek Johnny Depp
Open Range,Kevin Costner,"Western, Drama",Kevin Costner Robert Duvall Michael Gambon
Open Water,Chris Kentis,"Drama, Thriller",Blanchard Ryan Daniel Travis Saul Stein
The Order,Brian Helgeland,"Action, Thriller",Daniel Radcliffe Rupert Grint Emma Watson
Out of Time,Carl Franklin,"Crime, Drama",Denzel Washington Eva Mendes Sanaa Lathan
Party Monster,"Fenton Bailey, Randy Barbato","Biography, Crime",Seth Green Macaulay Culkin Diana Scarwid
Paper Soldiers,"David V. Daniel, Damon Dash","Crime, Comedy",Kevin Hart Beanie Sigel Paul Sado
Pauly Shore Is Dead,Pauly Shore,Mockumentary,Pauly Shore Sean Penn Charlie Sheen
Paycheck,John Woo,"Action, Science Fiction",Ben Affleck Uma Thurman Aaron Eckhart
Peter Pan,P.J. Hogan,"Family, Fantasy",Bobby Driscoll Kathryn Beaumont Hans Conried
Phone Booth,Joel Schumacher,Thriller,Colin Farrell Kiefer Sutherland Forest Whitaker
Pieces of April,Peter Hedges,Comedy Drama,Katie Holmes Derek Luke Patricia Clarkson
Piglet's Big Movie,Francis Glebas,"Animation, Family",John Fiedler Jim Cummings Andre Stojka
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Action, Fantasy",Johnny Depp Orlando Bloom Keira Knightley
Poolhall Junkies,Mars Callahan,Drama,Ricky Schroder Chazz Palminteri Rod Steiger
Prey for Rock & Roll,Alex Steyermark,"Musical, Drama",Gina Gershon Drea de Matteo Lori Petty
Puppet Master: The Legacy,Charles Band,Horror,Jacob Witkin Kate Orsini Ian Abercrombie
Quicksand,John MacKenzie,Crime,Michael Dudikoff Brooke Theiss Douglas Weston
Radio,Mike Tollin,Biography,Georgina Haig John Ralston Carrie-Lynn Neales
The Real Cancun,Rick de Oliveira,Reality,Benjamin Fletcher Nicole Frilot Roxanne Frilot
The Recruit,Roger Donaldson,Action,Colin Farrell Al Pacino Bridget Moynahan
The Room,Tommy Wiseau,Drama,Olga Kurylenko Kevin Janssens Carole Weyers
Rugrats Go Wild,"John Eng, Norton Virgien","Animation, Family",Elizabeth Daily Nancy Cartwright Kath Soucie
Runaway Jury,Gary Fleder,"Crime, Drama",John Cusack Gene Hackman Dustin Hoffman
The Rundown,Peter Berg,"Action, Comedy",Dwayne Johnson Seann William Scott Rosario Dawson
S.W.A.T.,Clark Johnson,"Action, Crime",Samuel L. Jackson Colin Farrell Michelle Rodriguez
Scary Movie 3,David Zucker,"Comedy, Parody",Anna Faris Simon Rex Anthony Anderson
School of Rock,Richard Linklater,"Comedy, Family",Jack Black Joan Cusack Mike White
Seabiscuit,Gary Ross,"Drama, Biography",Tobey Maguire David McCullough Jeff Bridges
Secondhand Lions,Tim McCanlies,"Comedy, Drama",Michael Caine Robert Duvall Haley Joel Osment
Shade,Damian Nieman,"Crime, Thriller",Stuart Townsend Gabriel Byrne Thandiwe Newton
Shanghai Knights,David Dobkin,"Action, Comedy",Jackie Chan Owen Wilson Fann Wong
Shattered Glass,Billy Ray,"Drama, Biography",Hayden Christensen Peter Sarsgaard Chloë Sevigny
Sinbad: Legend of the Seven Seas,"Tim Johnson, Patrick Gilmore","Animation, Family",Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer
The Singing Detective,Keith Gordon,"Musical, Comedy",Robert Downey Jr. Robin Wright Mel Gibson
Sky Blue,"Kim Moon-saeng, Park Sun-min",Animation,Jessica Lange Tommy Lee Jones Powers Boothe
Something's Gotta Give,Nancy Meyers,Romantic Comedy,Jack Nicholson Diane Keaton Keanu Reeves
Spy Kids 3-D: Game Over,Robert Rodriguez,"Adventure, Family",Antonio Banderas Carla Gugino Alexa PenaVega
The Station Agent,Tom McCarthy,"Comedy, Drama",Peter Dinklage Patricia Clarkson Bobby Cannavale
Stealing Christmas,Gregg Champion,"Comedy, Drama",Tony Danza Lea Thompson Angela Goethals
Stuck on You,Peter and Bobby Farrelly,Comedy,Matt Damon Greg Kinnear Eva Mendes
Tarnation,Jonathan Caouette,Documentary,Renee Leblanc Adolph Davis Rosemary Davis
Tears of the Sun,Antoine Fuqua,War,Bruce Willis Monica Bellucci Cole Hauser
Terminator 3: Rise of the Machines,Jonathan Mostow,"Action, Science Fiction",Arnold Schwarzenegger Nick Stahl Claire Danes
Testosterone,David Moreton,Action,"David Sutcliffe Antonio Sabàto, Jr. Celina Font"
The Texas Chainsaw Massacre,Marcus Nispel,Horror,Jessica Biel Eric Balfour Erica Leerhsen
Thirteen,Catherine Hardwicke,"Crime, Drama",George Clooney Brad Pitt Matt Damon
This Girl's Life,Ash,Drama,James Woods Juliette Marquis Rosario Dawson
This Thing of Ours,Danny Provenzano,"Crime, Drama",James Caan Frank Vincent Vincent Pastore
Timeline,Richard Donner,"Action, Science Fiction",Paul Walker Frances O'Connor Gerard Butler
Tupac: Resurrection,Lauren Lazin,Documentary,Tupac Shakur Al Sharpton
Two Days,Sean McGinly,Drama,Katherine Howard Johnno Wilson Matt Baldoni
Uncle Nino,Robert Shallcross,"Comedy, Drama",Joe Mantegna Anne Archer Pierrino Mascarino
Under the Tuscan Sun,Audrey Wells,Romantic Comedy,Diane Lane Sandra Oh Lindsay Duncan
Underworld,Len Wiseman,Horror,Kate Beckinsale Stephen Rea Michael Ealy
Uptown Girls,Boaz Yakin,Romantic Comedy,Brittany Murphy Dakota Fanning Marley Shelton
V-Day: Until the Violence Stops,Abby Epstein,Documentary,unknown
Veronica Guerin,Joel Schumacher,"Biography, Crime",Cate Blanchett Gerard McSorley Ciarán Hinds
View from the Top,Bruno Barreto,Romantic Comedy,Gwyneth Paltrow Christina Applegate Mark Ruffalo
What a Girl Wants,Dennie Gordon,Comedy,Amanda Bynes Colin Firth Kelly Preston
When Eagles Strike,Cirio H. Santiago,"Action, War",Christian Boeving Davee Youngblood Stacy Keach
Willard,Glen Morgan,Horror,Crispin Glover R. Lee Ermey Laura Harring
Wonderland,James Cox,"Crime, Drama",Nicolas Cage Emily Tosta Beth Grant
Wrong Turn,Rob Schmidt,Horror,Charlotte Vega Adain Bradley Bill Sage
X2: X-Men United,Bryan Singer,Superhero,Patrick Stewart Hugh Jackman Ian McKellen
The Yes Men,"Dan Ollman, Sarah Price, Chris Smith",Documentary,Mike Bonanno Andy Bichlbaum Patrick Lichty
The Young Black Stallion,Simon Wincer,"Drama, Family",Biana Tamimi Richard Romanus Patrick Elias
Zero Day,Ben Coccio,Drama,Cal Robertson Andre Keuck Serataren Adragna
15 Minutes,John Herzfeld,"Action, Crime",Robert De Niro Charlize Theron Kelsey Grammer
3 A.M.,Lee Davis,Crime drama,Sarita Choudhury Michelle Rodriguez Arjun G. Awtramani
3000 Miles to Graceland,Demian Lichtenstein,"Action, Crime",Kurt Russell Kevin Costner Courteney Cox
A.I. Artificial Intelligence,Steven Spielberg,Science fiction,Haley Joel Osment Jude Law Frances O'Connor
The Affair of the Necklace,Charles Shyer,Drama,Hilary Swank Simon Baker Christopher Walken
After the Storm,Guy Ferland,"Adventure, Drama",Madeline Leon Bo Yokely Carlisle J. Williams
Ali,Michael Mann,"Drama, Biography",Will Smith Jamie Foxx Jon Voight
All Over the Guy,Julie Davis,Comedy,Dan Bucatinsky Richard Ruccolo Doris Roberts
Along Came a Spider,Lee Tamahori,"Crime, thriller",Morgan Freeman Monica Potter Michael Wincott
The Amati Girls,Anne De Salvo,Drama,Cloris Leachman Mercedes Ruehl Dinah Manoff
America's Sweethearts,Joe Roth,Comedy,Julia Roberts John Cusack Catherine Zeta-Jones
The American Astronaut,Cory McAbee,Musical,Joshua Taylor Greg Russell Cook Rocco Sisto
American Outlaws,Les Mayfield,Western,Colin Farrell Scott Caan Ali Larter
American Pie 2,James Rogers,Comedy,Jason Biggs Thomas Ian Nicholas Chris Klein
An American Rhapsody,Éva Gárdos,Drama,Scarlett Johansson Nastassja Kinski Tony Goldwyn
Amy's Orgasm,Julie Davis,Comedy,Nick Chinlund Caroline Aaron Mitchell Whitfield
Angel Eyes,Luis Mandoki,Romance,Jennifer Lopez Jim Caviezel Jeremy Sisto
The Animal,Luke Greenfield,Comedy,Rob Schneider Colleen Haskell John C. McGinley
The Anniversary Party,"Alan Cumming, Jennifer Jason Leigh","Comedy, Drama",Alan Cumming Jennifer Jason Leigh John Benjamin Hickey
Antitrust,Peter Howitt,Crime drama,Ryan Phillippe Rachael Leigh Cook Tim Robbins
Atlantis: The Lost Empire,"Gary Trousdale, Kirk Wise",Animation,Michael J. Fox Cree Summer James Garner
Baby Boy,John Singleton,Crime drama,Tyrese Gibson Taraji P. Henson Omar Gooding
Bandits,Barry Levinson,"Crime, Comedy",Bruce Willis Billy Bob Thornton Cate Blanchett
Bartleby,Jonathan Parker,"Comedy, Drama",Crispin Glover David Paymer Glenne Headly
A Beautiful Mind,Ron Howard,"Biography, Drama",Russell Crowe Jennifer Connelly Ed Harris
Behind Enemy Lines,John Moore,War,Owen Wilson Gene Hackman Gabriel Macht
The Believer,Henry Bean,Drama,Ryan Gosling Summer Phoenix Theresa Russell
Big Bad Love,Arliss Howard,Drama,Arliss Howard Debra Winger Paul Le Mat
Black Hawk Down,Ridley Scott,War,Josh Hartnett Ewan McGregor Eric Bana
Black Knight,Gil Junger,Comedy,Martin Lawrence Marsha Thomason Tom Wilkinson
Blow,Ted Demme,"Biography, Drama",Johnny Depp Penélope Cruz Franka Potente
Bones,Ernest R. Dickerson,Horror,Saoirse Ronan Mark Wahlberg Rachel Weisz
Boom: The Sound of Eviction,Francine Cavanaugh,Documentary,
A Boy Named Sue,Julie Wyman,Documentary,Theo A. Steffen Lisi Kris Force
Brian's Song,John Gray,"Drama, Sport",Sean Maher Mekhi Phifer Paula Cale
The Brothers,Gary Hardwick,Comedy,Matt Damon Heath Ledger Lena Headey
Bubble Boy,Blair Hayes,Comedy,Jake Gyllenhaal Swoosie Kurtz Marley Shelton
Buffalo Soldiers,Gregor Jordan,"Comedy, War",Joaquin Phoenix Ed Harris Scott Glenn
Bully,Larry Clark,Crime drama,Julia Roberts Meryl Streep Nicolas Cage
The Business of Strangers,Patrick Stettner,Thriller,Stockard Channing Julia Stiles Frederick Weller
Call Me Claus,Peter Werner,Comedy,Whoopi Goldberg Nigel Hawthorne Victor Garber
Captain Corelli's Mandolin,John Madden,Romance,Nicolas Cage Penélope Cruz John Hurt
The Cat's Meow,Peter Bogdanovich,Drama,Kirsten Dunst Edward Herrmann Eddie Izzard
Cats & Dogs,Lawrence Guterman,Comedy,Jeff Goldblum Elizabeth Perkins Alexander Pollock
The Caveman's Valentine,Kasi Lemmons,Crime drama,Samuel L. Jackson Colm Feore Ann Magnuson
The Center of the World,Wayne Wang,Drama,Shane Edelman Peter Sarsgaard Molly Parker
A Chronicle of Corpses,Andrew Repasky McElhinney,"Drama, Horror, Period",Marj Dusay Oliver Wyman Margot White
Corky Romano,Rob Pritts,Comedy,Chris Kattan Vinessa Shaw Peter Falk
CQ,Roman Coppola,Science fiction,Jeremy Davies Angela Lindvall Élodie Bouchez
Crazy/Beautiful,John Stockwell,Romance,Kirsten Dunst Jay Hernandez Bruce Davison
Crocodile Dundee in Los Angeles,Simon Wincer,Adventure,Paul Hogan Linda Kozlowski Jere Burns
Cruel Intentions 2,Roger Kumble,"Comedy, Drama",Robin Dunne Sarah Thompson Amy Adams
The Curse of the Jade Scorpion,Woody Allen,Comedy,Dan Aykroyd Helen Hunt Charlize Theron
The Deep End,"Scott McGehee, David Siegel",Drama,Tilda Swinton Goran Visnjic Jonathan Tucker
Delivering Milo,Nick Castle,Comedy,Anton Yelchin Albert Finney Bridget Fonda
Den,Greg Arce,Thriller,Gerard Butler Dawn Olivieri O'Shea Jackson Jr.
Dogtown and Z-Boys,Stacy Peralta,Documentary,Sean Penn Jay Adams Henry Rollins
Domestic Disturbance,Harold Becker,Thriller,John Travolta Matt O'Leary Vince Vaughn
Don't Say a Word,Gary Fleder,Thriller,Michael Douglas Sean Bean Brittany Murphy
Donnie Darko,Richard Kelly,Science fiction,Jake Gyllenhaal Jena Malone James Duval
Double Take,George Gallo,Comedy,Orlando Jones Eddie Griffin Garcelle Beauvais
Down to Earth,"Chris Weitz, Paul Weitz",Comedy,Chris Rock Regina King Chazz Palminteri
Dr. Dolittle 2,Steve Carr,Comedy,Eddie Murphy Kristen Wilson Kyla Pratt
Driven,Renny Harlin,Action,Jason Sudeikis Lee Pace Judy Greer
Dumb Luck,Craig Clyde,Comedy,Scott Baio Tracy Nelson Richard Moll
Earth vs. the Spider,Scott Ziehl,Horror,Dan Aykroyd Devon Gummersall Amelia Heinle
Elvira's Haunted Hills,Sam Irvin,Horror,Cassandra Peterson Richard O'Brien Mary Scheer
Enemy at the Gates,Jean-Jacques Annaud,War,Jude Law Joseph Fiennes Rachel Weisz
Escape from Hell,Danny Carrales,Horror,Daniel Kruse Emilie Jo Tisdale Terry Jernigan
Evolution,Ivan Reitman,Science fiction,Justin Chatwin Chow Yun-Fat Joon Park
Exit Wounds,Andrzej Bartkowiak,Action,Steven Seagal DMX Isaiah Washington
The Fast and the Furious,Rob Cohen,Action,Paul Walker Vin Diesel Michelle Rodriguez
Festival in Cannes,Henry Jaglom,Comedy,Anouk Aimée Greta Scacchi Maximilian Schell
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Fantasy,Ming-Na Wen Alec Baldwin Ving Rhames
Finder's Fee,Jeff Probst,Thriller,Erik Palladino Matthew Lillard Ryan Reynolds
The Fluffer,"Wash West, Richard Glatzer",Comedy,Scott Gurney Michael Cunio Roxanne Day
The Forsaken,J. S. Cardone,Horror,Brendan Fehr Izabella Miko Kerr Smith
Frailty,Bill Paxton,Horror,Bill Paxton Matthew McConaughey Powers Boothe
Freddy Got Fingered,Tom Green,Comedy,Tom Green Rip Torn Marisa Coughlan
From Hell,Albert and Allen Hughes,Crime drama,Johnny Depp Heather Graham Ian Holm
Full Frontal,Kyle Schickner,Comedy,David Duchovny Nicky Katt Catherine Keener
Get Over It,Tommy O'Haver,Musical,Kirsten Dunst Ben Foster Melissa Sagemiller
Ghost World,Terry Zwigoff,Drama,Thora Birch Steve Buscemi Scarlett Johansson
Ghosts of Mars,John Carpenter,Science fiction,Natasha Henstridge Ice Cube Jason Statham
The Glass House,Daniel Sackheim,Thriller,Leelee Sobieski Diane Lane Stellan Skarsgård
Glitter,Vondie Curtis-Hall,Musical,Mariah Carey Max Beesley Terrence Howard
God Didn't Give Me a Week's Notice,Richard Daily,Documentary,unknown
Good Neighbor,Todd Turner,Thriller,Logan Miller Keir Gilchrist James Caan
Gosford Park,Robert Altman,"Mystery, Comedy",Maggie Smith Michael Gambon Kristin Scott Thomas
Green Dragon,Timothy Linh Bui,Drama,Patrick Swayze Forest Whitaker Đơn Dương
The Grey Zone,Tim Blake Nelson,Drama,David Arquette Daniel Benzali Steve Buscemi
Hannibal,Ridley Scott,Thriller,Anthony Hopkins Julianne Moore Gary Oldman
Hardball,Brian Robbins,Drama,Keanu Reeves Diane Lane Michael B. Jordan
Harry Potter and the Sorcerer's Stone,Chris Columbus,Fantasy,Daniel Radcliffe Rupert Grint Emma Watson
Harvard Man,James Toback,Drama,Sarah Michelle Gellar Adrian Grenier Joey Lauren Adams
Head Over Heels,Mark Waters,Romantic comedy,Monica Potter Freddie Prinze Jr. Shalom Harlow
Heartbreakers,David Mirkin,Comedy,Sigourney Weaver Jennifer Love Hewitt Gene Hackman
Hearts in Atlantis,Scott Hicks,Drama,Anthony Hopkins Anton Yelchin Hope Davis
Hedwig and the Angry Inch,John Cameron Mitchell,Musical comedy,John Cameron Mitchell Miriam Shor Theodore Liscinski
Heist,David Mamet,Crime drama,Ben Stiller Eddie Murphy Casey Affleck
Herman U.S.A.,Bill Semans,Rom com,Michael O'Keefe Kevin Chamberlin Enid Graham
How High,Jesse Dylan,Comedy,Method Man Redman Obba Babatundé
How to Make a Monster,George Huang,Science fiction,Clea DuVall Steven Culp Tyler Mane
Human Nature,Michel Gondry,Comedy,Patricia Arquette Tim Robbins Rhys Ifans
I Am Sam,Jessie Nelson,Drama,Sean Penn Michelle Pfeiffer Dianne Wiest
In the Bedroom,Todd Field,Crime drama,Tom Wilkinson Sissy Spacek Nick Stahl
Jay and Silent Bob Strike Back,Kevin Smith,Comedy,Jason Mewes Shannon Elizabeth Eliza Dushku
Jeepers Creepers,Victor Salva,Horror,Gina Philips Justin Long Jonathan Breck
Jimmy Neutron: Boy Genius,John A. Davis,Animation,Debi Derryberry Megan Cavanagh Mark DeCarlo
The Jimmy Show,Frank Whaley,Comedy,Frank Whaley Carla Gugino Ethan Hawke
Joe Dirt,Dennie Gordon,Comedy,David Spade Brittany Daniel Dennis Miller
Joe Somebody,John Pasquin,Comedy,Tim Allen Julie Bowen Kelly Lynch
Josie and the Pussycats,"Harry Elfont, Deborah Kaplan",Musical comedy,Rachael Leigh Cook Rosario Dawson Tara Reid
Joy Ride,John Dahl,Horror,Paul Walker Steve Zahn Leelee Sobieski
Jurassic Park III,Joe Johnston,Science fiction,Sam Neill William H. Macy Téa Leoni
Just Visiting,Jean-Marie Poiré,Fantasy,Jean Reno Christian Clavier Christina Applegate
K-PAX,Iain Softley,Drama,Jeff Bridges Kevin Spacey Mary McCormack
Kate & Leopold,James Mangold,Comedy,Meg Ryan Hugh Jackman Liev Schreiber
Kill Me Later,Dana Lustig,Thriller,Selma Blair Max Beesley O'Neal Compton
Kingdom Come,Doug McHenry,Comedy,Ry Barrett Camille Hollett-French Jason Martorino
Kiss of the Dragon,Chris Nahon,Action,Jet Li Bridget Fonda Tchéky Karyo
Kissing Jessica Stein,Charles Herman-Wurmfeld,Romantic comedy,Jennifer Westfeldt Heather Juergensen Scott Cohen
A Knight's Tale,Brian Helgeland,Comedy,Heath Ledger Rufus Sewell Shannyn Sossamon
Knockaround Guys,"Brian Koppelman, David Levien",Comedy,Barry Pepper Andy Davoli Seth Green
L.I.E.,Michael Cuesta,Drama,Paul Dano Bruce Altman Brian Cox
Lara Croft: Tomb Raider,Simon West,Action,Angelina Jolie Jon Voight Iain Glen
The Last Castle,Rod Lurie,Drama,Robert Redford James Gandolfini Mark Ruffalo
Laughter on the 23rd Floor,Richard Benjamin,Comedy,Nathan Lane Mark Linn-Baker Saul Rubinek
Legally Blonde,Robert Luketic,Comedy,Reese Witherspoon Luke Wilson Selma Blair
Life as a House,Irwin Winkler,Drama,Kevin Kline Hayden Christensen Kristin Scott Thomas
Lloyd,Hector Baron,Comedy,Derek Richardson Eric Christian Olsen Mimi Rogers
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Fantasy,Elijah Wood Ian McKellen Liv Tyler
The Lost Skeleton of Cadavra,Larry Blamire,Science fiction,Fay Masterson Andrew Parks Susan McConnell
Lovely & Amazing,Nicole Holofcener,Comedy,Catherine Keener Brenda Blethyn Emily Mortimer
The Majestic,Frank Darabont,Drama,Jim Carrey Bob Balaban Jeffrey DeMunn
The Man from Elysian Fields,George Hickenlooper,Drama,Andy García Julianna Margulies Anjelica Huston
The Man Who Wasn't There,Joel Coen,Crime drama,Billy Bob Thornton Frances McDormand Michael Badalucco
Max Keeble's Big Move,Tim Hill,Comedy,Alex D. Linz Zena Grey Nora Dunn
Megiddo: The Omega Code 2,Brian Trenchard-Smith,Fantasy,Michael York Michael Biehn Diane Venora
The Mexican,Gore Verbinski,Comedy,Brad Pitt Julia Roberts James Gandolfini
Mockingbird Don't Sing,Harry Bromley Davenport,Drama,Melissa Errico Joe Regalbuto Sean Young
Monkeybone,Henry Selick,Fantasy,Brendan Fraser Bridget Fonda John Turturro
Monsoon Wedding,Mira Nair,Comedy,Naseeruddin Shah Lillete Dubey Vijay Raaz
Monster's Ball,Marc Forster,Drama,Billy Bob Thornton Halle Berry Heath Ledger
"Monsters, Inc.",Peter Docter,Animation,John Goodman Billy Crystal Mary Gibbs
A Month of Sundays,Stewart Raffill,Drama,Anthony LaPaglia Julia Blake John Clarke
Moulin Rouge!,Baz Luhrmann,Musical,Nicole Kidman Ewan McGregor John Leguizamo
Mulholland Drive,David Lynch,Crime drama,Naomi Watts Laura Harring Justin Theroux
The Mummy Returns,Stephen Sommers,Adventure,Brendan Fraser Rachel Weisz John Hannah
Murder on a Sunday Morning,Jean-Xavier de Lestrade,Documentary,Ann Finnell Patrick McGuinness James Williams
The Musketeer,Peter Hyams,Adventure,Catherine Deneuve Mena Suvari Stephen Rea
My Big Break,Tony Zierra,Documentary,Wes Bentley Chad Lindberg Brad Rowe
My Big Fat Greek Wedding,Joel Zwick,Comedy,Nia Vardalos John Corbett Lainie Kazan
My First Mister,Christine Lahti,Drama,Albert Brooks Leelee Sobieski John Goodman
Not Another Teen Movie,Joel Gallen,parody,Chyler Leigh Chris Evans Jaime Pressly
Novocaine,David Atkins,Comedy,Steve Martin Helena Bonham Carter Laura Dern
O,Tim Blake Nelson,Drama,Miren Ibarguren Paco León Sofía Oria
Ocean's Eleven,Steven Soderbergh,Crime,George Clooney Brad Pitt Matt Damon
On the Line,Eric Bross,Comedy,John Travolta Kate Bosworth Devon Sawa
The One,James Wong,Action,Jet Li Jason Statham Carla Gugino
One Night at McCool's,Harald Zwart,Comedy,Matt Dillon Liv Tyler Mary Jo Smith
Original Sin,Michael Cristofer,Thriller,Angelina Jolie Antonio Banderas Thomas Jane
Osmosis Jones,"Bobby Farrelly, Peter Farrelly, Tom Sito, Piet Kroon",Fantasy,Chris Rock Laurence Fishburne David Hyde Pierce
The Others,Alejandro Amenábar,Science fiction,Nicole Kidman Fionnula Flanagan Christopher Eccleston
Out Cold,Brendan and Emmett Malloy,Comedy,Jason London Lee Majors Zach Galifianakis
Out of the Black,Karl Kozak,Drama,Tyler Christopher Sally Kirkland Jason Widener
The Pact,Rodney Gibbons,Thriller,Caity Lotz Casper Van Dien Agnes Bruckner
Pearl Harbor,Michael Bay,War,Ben Affleck Kate Beckinsale Josh Hartnett
Perfume,Michael Rymer,Drama,Ben Whishaw Alan Rickman Rachel Hurd-Wood
Piñero,Leon Ichaso,Biography,Benjamin Bratt Giancarlo Esposito Talisa Soto
Planet of the Apes,Tim Burton,Science fiction,Andy Serkis Jason Clarke Gary Oldman
The Pledge,Sean Penn,Crime drama,Jack Nicholson Helen Mirren Aaron Eckhart
